"pointid","xcoord","ycoord"
647,1697895.1798,2272300.9165
648,1700114.954,2271626.5779
649,1700273.3845,2271646.2513
650,1697036.5025,2279982.9177
651,1698766.807,2281341.9112
652,1696268.643,2280290.7224
653,1694931.5357,2280391.7946
654,1691705.7469,2281103.9186
655,1694680.5154,2280147.7564
656,1694929.9933,2280373.8357
657,1694930.7748,2280375.491
658,1691259.7994,2281451.1735
659,1694716.9915,2282173.9537
660,1695465.0096,2281979.7413
661,1694325.5696,2282496.5462
662,1693192.9284,2282419.8567
663,1692985.1531,2282389.7942
664,1692254.6391,2284438.1856
665,1694114.0279,2284698.6522
666,1691963.378,2284376.5951
667,1691644.5829,2284439.99
668,1691113.4815,2284364.8389
669,1691476.0168,2288087.699
670,1691803.0096,2289522.573
671,1690249.41,2284921.2906
672,1689552.7849,2284542.3065
673,1689021.3148,2282933.8243
674,1688846.3436,2282743.2277
675,1688263.8294,2281448.4707
676,1687511.6546,2281075.5312
677,1687062.5622,2280921.4519
678,1689260.354,2286771.0664
679,1688758.349,2286634.1792
680,1688351.626,2286510.4251
681,1688077.6841,2286604.6484
682,1689261.4593,2285945.75
683,1688723.1489,2286348.6114
684,1689031.5172,2284891.2663
685,1688325.7056,2285233.6115
686,1688078.5247,2285171.2358
687,1686273.5683,2284359.1025
688,1686513.7977,2286081.5738
689,1688409.6507,2283118.7078
690,1688112.8898,2283480.4757
691,1687228.3049,2282032.6048
692,1686815.786,2282345.2618
693,1686820.2527,2282676.489
694,1686965.2107,2282991.5181
695,1686219.7277,2282717.0258
696,1685830.337,2282549.8929
697,1686510.6194,2281667.2682
698,1686408.8472,2281414.1809
699,1689419.1209,2281973.1558
700,1689721.1752,2281727.8634
701,1688594.5617,2289533.3277
702,1689148.9251,2290253.0669
703,1689026.3279,2288336.4983
704,1687954.6428,2289717.2044
705,1687752.1742,2289604.4174
706,1684080.1056,2290815.196
707,1683835.1795,2290695.6509
708,1683494.7583,2291126.3659
709,1683092.7189,2291168.7298
710,1684747.8656,2289895.8496
711,1684539.4526,2290114.58
712,1681623.9036,2287063.0108
713,1684021.4586,2287086.0462
714,1684214.0401,2286622.7165
715,1682286.7141,2289083.07
716,1681887.4852,2289264.9517
717,1685525.3288,2285667.0102
718,1686065.3865,2285010.3533
719,1687209.3838,2287414.3337
720,1684374.4439,2292643.818
721,1686729.6444,2292906.369
722,1683882.6846,2292600.8885
723,1683690.0878,2292665.8479
724,1683625.3573,2292748.532
725,1677600.1101,2292339.1771
726,1676145.3012,2292715.4521
727,1675405.8645,2293631.9125
728,1676056.1538,2293120.2616
729,1674950.1989,2294561.2385
730,1681553.5961,2290310.3319
731,1682009.5298,2289719.0432
732,1680184.908,2296248.1106
733,1680247.0554,2296259.1952
734,1680289.499,2296264.0031
735,1677477.4109,2297160.2318
736,1675486.4232,2301875.2522
737,1675223.9722,2299398.7663
738,1673647.4579,2307915.1854
739,1674693.9914,2309332.9878
740,1675439.2915,2307477.3367
741,1675433.905,2310664.7709
742,1675771.1065,2314396.5925
743,1675271.274,2313311.7253
744,1676112.4726,2316457.7368
745,1677073.3263,2316061.8892
746,1674230.9291,2314583.4148
747,1672664.7924,2313095.5853
748,1673228.9937,2316219.8295
749,1671587.6996,2315388.7273
750,1670988.0003,2313456.5333
751,1671809.6504,2310493.8888
752,1670550.4486,2308599.4307
753,1671319.3502,2308148.1539
754,1671410.1441,2307853.7825
755,1669554.9495,2307399.0533
756,1669460.0448,2307490.981
757,1668794.6881,2308767.9753
758,1670749.6296,2303060.955
759,1667100.4966,2303476.5001
760,1668206.3127,2300674.3866
761,1668808.6054,2299331.1761
762,1669290.6564,2297401.3573
763,1669130.4091,2297971.4052
764,1668486.0482,2296210.1324
765,1668150.2143,2296744.5903
766,1667710.7256,2297387.4184
767,1667575.2201,2298033.5512
768,1667515.6853,2300133.8769
769,1667248.0629,2300295.5976
770,1672417.8326,2294067.3216
771,1672711.6825,2293879.8578
772,1674197.9013,2294961.2732
773,1674987.1809,2296267.497
774,1678482.05,2300840.7863
775,1678261.0276,2299851.308
776,1677065.3528,2306056.9866
777,1676786.5176,2302646.8282
778,1675843.5791,2302844.9424
779,1675596.4186,2303133.6616
780,1676598.728,2303181.8619
781,1676520.8493,2304050.3107
782,1676309.5058,2306613.4065
783,1674973.6637,2306085.4904
784,1674981.5805,2304515.1191
785,1680440.0431,2315151.2685
786,1680126.3199,2311089.3101
787,1680326.3495,2309315.1365
788,1680307.9315,2307875.2745
789,1678657.7939,2307225.7315
790,1678603.8109,2307247.887
791,1677911.3654,2309157.164
792,1677831.5681,2309647.8602
793,1676507.4146,2312476.1906
794,1679615.6238,2309713.8494
795,1677213.9196,2313444.203
796,1675930.8254,2309794.5037
797,1676017.1587,2308524.4712
798,1685187.7679,2310554.7209
799,1685539.7446,2309649.803
800,1683087.5939,2314301.964
801,1682685.6993,2311905.204
802,1683685.2931,2315646.7265
803,1683864.2538,2315327.2756
804,1684109.753,2315046.0536
805,1686765.9675,2312844.0009
806,1682196.8908,2317650.2104
807,1682928.6793,2318445.5248
808,1688222.707,2318451.8708
809,1688182.084,2319750.1566
810,1687538.9211,2324335.6124
811,1687074.3995,2322395.5305
812,1684819.757,2323843.4103
813,1682929.6647,2320386.9494
814,1684696.7864,2317541.1454
815,1685326.1725,2316210.1788
816,1692622.9197,2319265.7862
